# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  4 18:20:06 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_name not null
# CONSTRAINT:  and hostname not null
# CONSTRAINT:  and sy_snum not null
# CONSTRAINT:  and sy_pnum not null
# CONSTRAINT:  and sy_mnum not null
# CONSTRAINT:  and disc_year not null
# CONSTRAINT:  and disc_facility not null
# CONSTRAINT:  and pl_refname not null
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null
# CONSTRAINT:  and pl_eqt not null
# CONSTRAINT:  and st_teff not null
# CONSTRAINT:  and ra not null
# CONSTRAINT:  and dec not null
# CONSTRAINT:  and sy_dist not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,0.73654370,0.00000520,-0.00000520,0,2.080,0.160,-0.170,0,7.81000,0.58000,-0.53000,0,1958,15,-15,0,5234.00,30.00,-30.00,0,133.1468373,28.3298154,12.5855000,0.0124000,-0.0123000
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.46300000,0.00000200,-0.00000200,0,4.070,0.170,-0.170,0,17.00000,5.00000,-5.00000,0,593,21,-21,0,3700.00,100.00,-100.00,0,311.2911369,-31.3424500,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,18.85901900,0.00001600,-0.00001600,0,3.240,0.160,-0.160,0,13.60000,11.40000,-11.40000,0,454,16,-16,0,3700.00,100.00,-100.00,0,311.2911369,-31.3424500,9.7221000,0.0046250,-0.0046250
BD+20 594 b,BD+20 594,1,1,0,2016,K2,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.68550000,0.00300000,-0.00310000,0,2.230,0.140,-0.110,0,16.30000,6.00000,-6.10000,0,546,19,-18,0,5766.00,99.00,-99.00,0,53.6511231,20.5990205,179.4610000,1.2570000,-1.2400000
BD-14 3065 b,BD-14 3065 A,3,1,0,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.28897310,0.00000520,-0.00000520,0,21.590,1.050,-1.050,0,3932.00000,290.00000,-280.00000,0,2001,31,-31,0,6935.00,90.00,-90.00,0,153.6696689,-15.6428372,589.4230000,16.5990000,-15.7290000
COCONUTS-2 b,COCONUTS-2 A,1,1,0,2021,NASA Infrared Telescope Facility (IRTF),<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,402000000.00000000,470000000.00000000,-100000000.00000000,0,12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0,434,9,-9,0,3406.00,69.00,-69.00,0,117.3009140,-76.7026960,10.8864000,0.0041000,-0.0042000
CoRoT-1 b,CoRoT-1,1,1,0,2008,CoRoT,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.50895570,0.00000640,-0.00000640,0,16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0,1898,50,-50,0,5950.00,150.00,-150.00,0,102.0798591,-3.1021394,787.9090000,23.4910000,-23.4910000
CoRoT-1 b,CoRoT-1,1,1,0,2008,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,1.50896860,0.00000060,-0.00000060,0,17.385,0.729,-0.729,0,327.36490,31.78300,-31.78300,0,1915,49,-49,0,5950.00,150.00,-150.00,0,102.0798591,-3.1021394,787.9090000,23.4910000,-23.4910000
CoRoT-1 b,CoRoT-1,1,1,0,2008,CoRoT,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>,1.50897655,0.00000010,-0.00000010,0,15.917,2.690,-2.690,0,340.07810,54.03110,-54.03110,0,1834,46,-46,0,5950.00,,,0,102.0798591,-3.1021394,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,CoRoT-10,1,1,0,2010,CoRoT,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,13.24060000,0.00020000,-0.00020000,0,10.548,0.953,-0.953,0,883.56740,47.67450,-47.67450,0,647,24,-24,0,5075.00,75.00,-75.00,0,291.0636813,0.7460143,338.3860000,3.9865000,-3.9865000
